product_id,product_name,description,category,price
1,Wireless Earbuds,High-quality Bluetooth earbuds with noise cancellation.,Electronics,79.99
2,Yoga Mat,Non-slip eco-friendly yoga mat perfect for all levels.,Fitness,25.00
3,Espresso Machine,Barista-style espresso machine with milk frother.,Home Appliances,199.00
4,Smartwatch,Touchscreen smartwatch with fitness tracking and GPS.,Wearables,129.99
5,Graphic T-Shirt,Cotton t-shirt with custom graphic design.,Apparel,19.99
6,LED Desk Lamp,Adjustable LED lamp with USB charging port.,Home & Office,39.95
7,Running Shoes,Lightweight breathable shoes for daily jogging.,Footwear,89.00
8,Blender,High-speed blender ideal for smoothies and soups.,Kitchen,59.50
9,Laptop Backpack,Waterproof backpack with laptop compartment.,Accessories,49.99
10,Wireless Charger,Fast wireless charger compatible with iPhones and Android.,Electronics,29.99
